Akun,Tweet,Lokasi
https://twitter.com/sastra_diaz,@bumnbersatu @mohmahfudmd @jokowi @Dennysiregar7 @ganjarpranowo @aniesbaswedan @prabowo @cakimiNOW @PdiperjuanganP @budimandjatmiko @ch_chotimah2 @LOVE_AG4EVER @detikcom @tribunnews @MARQUEZ__93 Ane sangat setuju bang,
https://twitter.com/HERMAWA87270689,"@Farrel1510 @Android_AK_47 @prabowo @jokowi Ga ngerti sejarah kah dia, kan ijazahnya palsu......",
https://twitter.com/goentz1,"Dalam unggahan tersebut, Prabowo bersama Najwa Shihab tampak asyik berdiskusi di ruang kerja Prabowo. 

#PrabowoUnggul
#BangkitBersama
Prabowo Subianto",
https://twitter.com/neinaadella07,"Jika Pilpres dilaksanakan saat ini,” kata Peneliti Senior LSN, Gema Nusantara saat jumpa pers daring hasil survei terbarunya, Sabtu 14 Januari 2023.
#PrabowoUnggul #IkutPakde Prabowo Subianto",
https://twitter.com/neinaadella07,"Survei Elektabilitas Prabowo Subianto di Pilpres 2024 Versi LSI 22 Januari 2024
#PrabowoUnggul #IkutPakde https://t.co/w9qDPz4WIX",
https://twitter.com/albert94953186,Prabowo Banjir Pujian Usai Hindari Karpet Merah Khusus Presiden dan Pemimpin G20: Manner dan Attitude Juara #PrabowoUnggul #IkutPakde Prabowo subianto https://t.co/6Rdi3pGai8,
https://twitter.com/Macanjkw,"Prabowo memberi JANJI, Jokowi memberi BUKTI. Buka mata lebar-lebar, berfikir dengan akal sehat. Jangan terpengaruh isu SARA, kita memilih Presiden bukan Pemimpin Agama",
https://twitter.com/JuliusWijarnako,"Pertama adalah konsolidasinya di berbagai daerah. 
#PrabowoUnggul #ikutPakde Prabowo Subianto",
https://twitter.com/goentz1,"""Diskusi bersama Mba Nana @najwashihab. Terima kasih sudah berkunjung ke kantor saya di Kementerian Pertahanan RI,"" tulis Prabowo di akun instagram pribadinya. 

#PrabowoUnggul
#BangkitBersama
Prabowo Subianto",
https://twitter.com/goentz1,"saat mengunjungi Kementerian Pertahanan RI, Kamis (2/3/2023). 

#PrabowoUnggul
#BangkitBersama
Prabowo Subianto",
https://twitter.com/goentz1,"Dalam unggahan tersebut jurnalis senior, Najwa Shihab terlihat akrab dan dekat dengan Prabowo Subianto 

#PrabowoUnggul
#BangkitBersama
Prabowo Subianto",
https://twitter.com/picywin,"@Bang_Garr @JieRahmah Rubicon
Indomie Yatai
Formula E
ARTIST AND STAFF
bapak prabowo subianto
Silent
Jalur
#HARAM
#TDS2inJAKARTA
Partai Prima
#KawalDavid
Dota 2
Nobita
Jeep
#KPKKenaPrank
Pika
R to V
Dekisugi
NICE TO MEET YOU BUILD",
https://twitter.com/polsek_lais,"Kapolri Jenderal Polisi Drs. Listyo Sigit Prabowo, https://t.co/KRxbTFGMCw., menjadi pemateri dalam Rakornas Badan Nasional Penanggulangan Bencana (BNPB) di Jakarta pada Kamis (2/3). Kapolri menyatakan pentingnya menguatkan manajemen risiko dalam menanggulangi potensi bencan. https://t.co/9q55ky9nCK",
https://twitter.com/goentz1,"Pertemuan itu terungkap melalui story Najwa Shihab yang merepost postingan Instagram Prabowo Subianto.

#PrabowoUnggul
#BangkitBersama
Prabowo Subianto https://t.co/H2RnfYI639",
https://twitter.com/JuliusWijarnako,"Survei dari Median ini dilakukan pada 22-26 Februari 2023.
#PrabowoUnggul #ikutPakde Prabowo Subianto",
https://twitter.com/akhbow,@kumparan Rahasia umum.,
https://twitter.com/UnameOne,"Menhan Prabowo di depan para prajurit Korps Marinir mengucapkan terimakasih atas pengangkatannya sebagai warga kehormatan Korps Marinir. 

Prabowo Subianto
#PrabowoNana2024
#BangkitBersama",
https://twitter.com/akhbow,@KompasTV lkkga,
https://twitter.com/openmindzero0,@Android_AK_47 @prabowo Ntar lagi nyawa yg ngilangin sejarah,
https://twitter.com/Ini_ajunk,Survei: Elektabilitas Prabowo di posisi pertama - ANTARA Lampung https://t.co/GstLeo9AOJ #PrabowoUnggul #BangkitBersama,
https://twitter.com/goentz1,"Najwa Shihab, terlihat merapat ke Prabowo Subianto. 

#PrabowoUnggul
#BangkitBersama
Prabowo Subianto https://t.co/wIUOxTurfK",
https://twitter.com/frmnsyh55775493,"""Meski santer terbaca dari media-media massa Ganjar punya peluang maju di koalisi KIB, tapi ada dua problema. Hubungannya dengan PDIP dan kader-kader dari KIB cukup kuat,"" kata Rico.
#PrabowoUnggul #IkutPakde Prabowo Subianto",
https://twitter.com/frmnsyh55775493,"Update Hasil Survei Elektabilitas Prabowo Subianto Pemilihan Presiden 2024 Hari ini
#PrabowoUnggul #IkutPakde https://t.co/Xv5v0bFaEd",
